city,state,city_uid,intake,DVSN_ID,city_state
Abilene,TX,441,Clear Fork Brazo River,3289,Abilene | TX
Abilene,TX,441,Ft. Phantom Hill Reservoir,3364,Abilene | TX
Abilene,TX,441,Hubbard Creek Reservoir,3407,Abilene | TX
Abilene,TX,441,Lake Abilene,3445,Abilene | TX
Abilene,TX,441,Lake Kirby,3491,Abilene | TX
Akron,OH,410,East Branch Reservoir-OH,3329,Akron | OH
Akron,OH,410,Lake Rockwell,3526,Akron | OH
Akron,OH,410,Wendell R LaDue Reservoir,3862,Akron | OH
Albany,NY,404,Alcove Reservoir,3176,Albany | NY
Albany,NY,404,Basic Creek Reservoir,3210,Albany | NY
Albuquerque,NM,401,Rio Grande - Albuquerque,4045,Albuquerque | NM
Albuquerque,NM,401,Santa Fe Group Aquifer,3771,Albuquerque | NM
Amarillo,TX,442,Ogallala Aquifer,3666,Amarillo | TX
Anchorage,AK,280,Anchorage GW,4067,Anchorage | AK
Anchorage,AK,280,Eklutna Lake,4065,Anchorage | AK
Anchorage,AK,280,Ship Creek,4066,Anchorage | AK
Ann Arbor,MI,371,Ann Arbor GW,3187,Ann Arbor | MI
Ann Arbor,MI,371,Barton Pond,3209,Ann Arbor | MI
Antioch,CA,289,Contra Loma Reservoir,3301,Antioch | CA
Antioch,CA,289,Los Vaqueros Reservoir,3571,Antioch | CA
Antioch,CA,289,Mallard Reservoir,3581,Antioch | CA
Antioch,CA,289,Martinez Reservoir,3589,Antioch | CA
Antioch,CA,289,San Joaquin River,3760,Antioch | CA
Appleton,WI,465,Lake Winnebago,3547,Appleton | WI
Asheville,NC,383,Bee Tree Reservoir,3216,Asheville | NC
Asheville,NC,383,Mills River,3616,Asheville | NC
Asheville,NC,383,North Fork Reservoir,3656,Asheville | NC
Athens,GA,334,Bear Creek Reservoir- GA,3214,Athens | GA
Athens,GA,334,Middle Oconee River,3610,Athens | GA
Athens,GA,334,North Oconee River,3657,Athens | GA
Atlanta,GA,181,Chattahoochee River,2331,Atlanta | GA
Atlantic City,NJ,399,Cohansey Aquifer,3295,Atlantic City | NJ
Atlantic City,NJ,399,Doughty Pond Dam,3325,Atlantic City | NJ
Atlantic City,NJ,399,Kirkwood Aquifer,3438,Atlantic City | NJ
Atlantic City,NJ,399,Kuehnle Pond Dam,3440,Atlantic City | NJ
Augusta-Richmond,GA,337,Cretaceous Aquifer,3304,Augusta-Richmond | GA
Augusta-Richmond,GA,337,Savannah River,3777,Augusta-Richmond | GA
Aurora,CO,187,Aurora Reservoir,2348,Aurora | CO
Aurora,CO,187,Homestake Reservoir,2358,Aurora | CO
