# IM3 Teleconnections Project: Sean Turner,,,,,,,,
# Production and Irrigation values for GCAM Commodities in each US HUC2 River Basin.,,,,,,,,
GCAM_basin_name,GLU,HUC2,GCAM_commodity,prod_kgm2_2010,TotIrr_m3kg,prod_kgkm2_2010,TotIrr_BCMkg,Irr_BCM_KM2
Lower Mississippi River,GLU219,8,FodderGrass,2.303905219,0,2303905.219,0,0
Lower Mississippi River,GLU219,8,FodderHerb,2.751247923,0.118307715,2751247.923,1.18E-10,3.25E-04
Lower Mississippi River,GLU219,8,MiscCrop,2.280663164,0.291228722,2280663.164,2.91E-10,6.64E-04
Lower Mississippi River,GLU219,8,OilCrop,0.31680182,2.319249291,316801.8202,2.32E-09,7.35E-04
Lower Mississippi River,GLU219,8,OtherGrain,0.805627685,0.950466574,805627.6854,9.50E-10,7.66E-04
Lower Mississippi River,GLU219,8,Rice,0.721059504,1.427868213,721059.5036,1.43E-09,0.001029578
Lower Mississippi River,GLU219,8,Root_Tuber,2.164885586,0.218010928,2164885.586,2.18E-10,4.72E-04
Lower Mississippi River,GLU219,8,SugarCrop,13.2804944,0.153878471,13280494.4,1.54E-10,0.002043582
Lower Mississippi River,GLU219,8,Wheat,0.784220123,1.745546744,784220.1228,1.75E-09,0.001368893
Mid Atlantic,GLU233,2,Corn,1.128311246,0.651875917,1128311.246,6.52E-10,7.36E-04
Mid Atlantic,GLU233,2,FiberCrop,0.343317739,4.295905011,343317.7394,4.30E-09,0.00147486
Mid Atlantic,GLU233,2,FodderGrass,2.692462914,0,2692462.914,0,0
Mid Atlantic,GLU233,2,FodderHerb,2.553246391,0.114299838,2553246.391,1.14E-10,2.92E-04
Mid Atlantic,GLU233,2,MiscCrop,2.371691822,0.282386958,2371691.822,2.82E-10,6.70E-04
Mid Atlantic,GLU233,2,OilCrop,0.308095936,2.37595936,308095.9364,2.38E-09,7.32E-04
Mid Atlantic,GLU233,2,OtherGrain,0.394076008,1.695581007,394076.0078,1.70E-09,6.68E-04
Mid Atlantic,GLU233,2,Root_Tuber,3.566305784,0.129075792,3566305.784,1.29E-10,4.60E-04
Mid Atlantic,GLU233,2,Wheat,1.096968645,1.285826802,1096968.645,1.29E-09,0.001410512
Missouri River,GLU223,10,Corn,2.688406462,1.130438893,2688406.462,1.13E-09,0.001455299
Missouri River,GLU223,10,FiberCrop,0.345064748,7.263256104,345064.7477,7.26E-09,0.001314444
Missouri River,GLU223,10,FodderGrass,1.655227921,0,1655227.921,0,0
Missouri River,GLU223,10,FodderHerb,3.999352029,0.223612785,3999352.029,2.24E-10,4.58E-04
Missouri River,GLU223,10,MiscCrop,0.982796881,1.655732383,982796.8805,1.66E-09,7.01E-04
Missouri River,GLU223,10,OilCrop,0.649715819,3.224697642,649715.819,3.22E-09,0.001066863
Missouri River,GLU223,10,OtherGrain,1.177689043,2.464448572,1177689.043,2.46E-09,0.001445642
Missouri River,GLU223,10,Root_Tuber,4.580267638,0.099835228,4580267.638,9.98E-11,4.57E-04
Missouri River,GLU223,10,SugarCrop,5.408614878,0.106685269,5408614.878,1.07E-10,5.77E-04
