"","city","city_population","n_watersheds","n_other_cities","dependent_city_pop","watershed_area_sqkm","storage_BCM","yield_BCM","irr_cons_BCM","n_climate_zones","n_transfers_in","n_transfers_out","n_transfers_within","n_hydro_plants","n_thermal_plants","n_fac_agcrop","n_fac_aglivestock","n_fac_cnsmnf","n_fac_mining","n_fac_oilgas","n_fac_total","hydro_gen_MWh","thermal_gen_MWh","thermal_cons_BCM","thermal_with_BCM","n_utilities","n_ba","n_crop_classes","cropland_fraction","developed_fraction","ag_runoff_max","ag_runoff_av_exgw","ag_runoff_av","dev_runoff_max","dev_runoff_av_exgw","dev_runoff_av","np_runoff_max","np_runoff_av_exgw","np_runoff_av_exgw_unweighted","np_runoff_av","n_economic_sectors","max_withdr_dist_km","avg_withdr_dis_km","n_treatment_plants","watershed_pop","pop_cons_m3sec","av_fl_sur_conc_pct","av_fl_sur_conc_pct_unweighted","av_ro_sur_conc_pct","av_fl_all_conc_pct","av_ro_all_conc_pct","av_fl_max_conc_pct","av_ro_max_conc_pct","surface_contribution_pct","importance_of_worst_watershed_pct"
"1","Portland, OR",653115,1,1,653115,280.752568964628,0.0970008672,0.0930800598687771,0,1,NA,NA,NA,1,0,0,0,0,0,0,0,55263.24,0,0,0,0,0,0,0,0.00445294719134479,0,0,0,1.71507851976572e-05,1.71507851976572e-05,1.71507851976572e-05,1.71507851976572e-05,1.71507851976572e-05,1.71507851976572e-05,1.71507851976572e-05,4,40.9232363243142,40.9232363243142,0,19.6324345633421,4.54455521759157e-05,0,0,0,0,0,0,0,100,100
"2","Knoxville, TN",187500,1,2,159230,23196.0275543981,5.166717270708,0.279240179606331,0.0132723534766789,2,NA,NA,NA,13,4,0,7,149,20,0,569,1633153.232,8595013.632,0.01050829816,0.98414224803,4,4,7,0.0392886600199876,0.121702469702281,0.00173500030620639,0.00173500030620639,0.00173500030620639,0.0187316810820062,0.0187316810820062,0.0187316810820062,0.0204666813882126,0.0204666813882126,0.0204666813882126,0.0204666813882126,13,5.94285437725379,5.94285437725379,0,1559518.53998606,3.61000470673053,1.44211790775721,1.44211790775721,1.72760662772192,1.44211790775721,1.72760662772192,1.44211790775721,1.72760662772192,100,100
"3","NewYork, NY",8398748,8,1,8398748,5203.87992642715,2.3480124399,0.744640478950217,0.00461897016056098,3,NA,NA,NA,5,0,0,3,45,7,0,377,155873.63,0,0,0,0,0,7,0.0473015993329796,0.08224816190404,0.0207107472182891,0.00340368268262966,0.00340368268262966,0.39669288248351,0.0263228117198099,0.0263228117198099,0.396693315278028,0.0297264944024396,0.0667699153713899,0.0297264944024396,13,191.50963674181,130.711473159311,0,256644.254977036,0.594085254305942,0.175708644955727,0.321200121758518,0.194658146549892,0.175708644955727,0.194658146549892,1.36302408187036,1.15031379803846,100,5
"4","Indianapolis, IN",867125,2,1,867125,4564.3384427401,0.11201108532,0.186160119737554,0.00851133030339587,2,NA,NA,NA,0,2,0,3,226,17,0,2590,0,184897.573170732,0.00017791427,0.00024605165,2,1,7,0.603727205423504,0.227530860607796,0.813563786995693,0.787582595296829,0.653693554096368,0.144048500710454,0.131936719469523,0.109507477159704,0.943251175663329,0.919519314766352,0.867491773569132,0.763201031256072,11,13.0229469186017,7.31684437254117,0,929968.280008122,2.1527091739284,5.8410898944482,5.96156958548435,5.13815445752109,4.848104612392,4.26466819974251,6.13700492506332,5.63682302436367,83,13
"5","Seattle, WA",744955,2,1,744955,400.030743445795,0.208334772,0.186160119737554,0,2,NA,NA,NA,1,0,0,0,0,0,0,0,74449.12,0,0,0,0,0,1,2.22995272500223e-05,0.076019088395326,0,0,0,0.00660850014644914,0.00591915022767216,0.00591915022767216,0.00660850014644914,0.00591915022767216,0.00545958361515417,0.00591915022767216,7,48.461821441056,42.8722839035499,0,1245.80702086051,0.00288381900802832,0,0,0,0,0,0,0,100,70
