city,city_population,n_watersheds,n_other_cities,dependent_population,watershed_area_sqkm,storage_BCM,yield_BCM,irr_cons_BCM,n_climate_zones,n_transfers_in,n_transfers_out,n_transfers_within,n_hydro_plants,n_thermal_plants,hydro_gen_MWh,thermal_gen_MWh,thermal_cons_BCM,thermal_with_BCM,n_utilities,n_ba,n_crop_classes,cropland_fraction,developed_fraction,n_economic_sectors,max_withdr_dist_km,avg_withdr_dis_km
Abilene | TX,122999,5,2,243567,66562235964.923355,2.75520700728,0.46590422708333334,0.677320684967383,3,4,11,0,0,8,0,6682069.905137421,0.00914933597,0.01267733809,7,2,8,0.2116937802429164,0.05300399643702634,12,106.31698727090885,48.597205900040294
Akron | OH,198006,1,1,198006,757039082.138828,0.0402777968892,0.11647375056818182,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0.1371289729445758,0.17513790386130812,12,17.583538887252388,17.583538887252388
Albany | NY,97279,2,1,97279,143752420.01468945,0.0483709182,0.17456488522727276,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0.09457831325301205,0.0537483266398929,7,29.38001608367727,26.234957352089076
Albuquerque | NM,560218,1,2,644830,44326366900.526474,2.4188018447652,2.1119225392045453,1.4184974744230172,7,7,3,4,4,0,57105.06,0,0,0,0,0,7,0.03894156524839323,0.016245734813416856,12,12.85918060965946,12.85918060965946
Amarillo | TX,199924,1,2,455809,50943564873.48818,1.7396245920108,0.32581254346590904,0.5656981354383647,6,3,0,0,0,3,0,8893715,0.023730735290000003,0.03468949724,1,1,9,0.04548197385642671,0.013016095738856164,12,60.89803194338632,60.89803194338632
Ann Arbor | MI,121890,1,1,121890,1608612424.5502825,0.03433638276,0.21070165426136367,0,2,0,0,0,1,0,0,0,0,0,0,0,9,0.1846299065878834,0.28006472650599457,13,2.2555429277061823,2.2555429277061823
Antioch | CA,111535,4,21,11329230,55332722986.47188,31.99754926152,10.43361890826823,15.730730824631614,9,0,2,61,82,12,10956874.92,8113908.892880388,0.00626863896,0.06570714678,12,3,10,0.21787698329174676,0.054985017489046883,13,313.28498535638386,91.16125813544319
Appleton | WI,74526,1,1,74526,15311142843.233856,3.15528377832,4.1031564675958805,0,2,0,0,0,10,2,101880.69,443988.82,3.3690149e-4,0.00218796698,2,1,10,0.31289223967562846,0.07282574175932591,13,6.271183225116373,6.271183225116373
Asheville | NC,92452,3,1,92452,281587155.88981986,0,0.17631070795454545,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0.021551236082279674,0.040384978297792036,7,22.436168795320686,17.936593957632184
Athens | GA,125964,3,2,624008,7322524879.566781,2.4195175962048,2.837510658771307,0,2,0,0,0,3,1,187021.01,3116156,0.0081007774,0.0118483333,1,1,8,0.01797272698528847,0.3601350852865142,13,133.9544644671191,46.76372368206215
Atlanta | GA,498044,1,1,498044,4109242554.6024256,2.3973266989344,1.9485257123579547,0,2,0,0,0,2,0,181531.13,0,0,0,0,0,7,0.009446809423219207,0.3660531423240652,13,10.79875786565482,10.79875786565482
Atlantic City | NJ,37804,1,1,37804,57904764.31187153,0.0018687222,0.06974277121212122,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0.0019027849852966616,0.581733264141152,10,9.119298112132471,9.119298112132471
Augusta-Richmond | GA,196939,1,2,265502,18585948691.86096,14.6898449287632,6.659667572884114,0,3,0,0,0,15,2,1788590.78,13853301.19325295,0.01399844618,2.2618581832,2,2,8,0.03044892710052246,0.11141801989603241,13,7.753602304774507,7.753602304774507
Aurora | CO,374114,7,4,1675044,19041451696.646454,1.51151502636,0.9950885570075758,0.0014438970352614602,6,7,1,4,8,1,85477.31999999999,266883,6.8894462e-4,0.00101070447,1,1,7,0.009984558604672324,0.02003105819876699,13,198.0588263723807,93.69551910407641
Austin | TX,964254,1,3,1207821,97194748547.75795,6.4737924725292,1.9287004643821022,0.6764834590231351,3,3,11,0,6,10,227513,7425959.618424134,0.00982313895,0.11094658169,9,2,8,0.1451630968743465,0.052090393585128764,13,3.5032357466202773,3.5032357466202773
