# Irrigated and Rainfed harvested areas by HUC2 (USA)
# computed from GCAM L1 data L152.ag_irrHA... and L152.ag_rfd_HA...
# units: billion square meters
GCAM_commodity,GLU,irrHA,rfdHA,Basin_name
Corn,GLU023,0.203175624753864,3.70724437524614,Saskatchewan_Nelson
FodderGrass,GLU023,0.0331548848713912,2.35370511512861,Saskatchewan_Nelson
FodderHerb,GLU023,0.0615982253870358,3.31204177461297,Saskatchewan_Nelson
MiscCrop,GLU023,0.0728004581167833,2.46664954188322,Saskatchewan_Nelson
OilCrop,GLU023,0.135485679517708,19.6453743204822,Saskatchewan_Nelson
OtherGrain,GLU023,0.0197560224063132,7.03733397759369,Saskatchewan_Nelson
Root_Tuber,GLU023,0.147899778542504,0.531830221457496,Saskatchewan_Nelson
SugarCrop,GLU023,0.0249918411951321,2.28253815880487,Saskatchewan_Nelson
Wheat,GLU023,0.0382537090899253,28.5056462909101,Saskatchewan_Nelson
Corn,GLU217,0.938317444881544,0.0523225551184558,California_River_Basin
FiberCrop,GLU217,2.79013543978784,0.655774560212155,California_River_Basin
FodderGrass,GLU217,2.82585009609246,0.322919903907537,California_River_Basin
FodderHerb,GLU217,5.77548325506151,0.585716744938488,California_River_Basin
MiscCrop,GLU217,12.7850190361405,0.234010963859553,California_River_Basin
OilCrop,GLU217,0.74059276686904,0.0579172331309598,California_River_Basin
OtherGrain,GLU217,0.41587550273041,0.27579449726959,California_River_Basin
Rice,GLU217,2.12904,0,California_River_Basin
Root_Tuber,GLU217,0.253599013782674,0.00224098621732614,California_River_Basin
SugarCrop,GLU217,0.220784984892006,0.0423450151079942,California_River_Basin
Wheat,GLU217,1.33630292803199,0.720337071968006,California_River_Basin
Corn,GLU218,2.17774640376044,108.850283596239,Upper_Mississippi_Basin
FiberCrop,GLU218,8.14391534391534e-4,6.65608465608466e-4,Upper_Mississippi_Basin
FodderGrass,GLU218,0.0760213761278691,12.0473486238721,Upper_Mississippi_Basin
FodderHerb,GLU218,0.181031025356448,19.8165889746436,Upper_Mississippi_Basin
MiscCrop,GLU218,0.307044450937529,1.22904554906247,Upper_Mississippi_Basin
OilCrop,GLU218,1.02721765316055,93.6763623468394,Upper_Mississippi_Basin
OtherGrain,GLU218,0.362259998050515,3.04359000194949,Upper_Mississippi_Basin
Rice,GLU218,0.00240692449355433,7.30755064456721e-5,Upper_Mississippi_Basin
Root_Tuber,GLU218,0.345624619989468,0.0802653800105319,Upper_Mississippi_Basin
SugarCrop,GLU218,0.00587002717742979,0.52774997282257,Upper_Mississippi_Basin
Wheat,GLU218,0.0183423741766806,5.20984762582332,Upper_Mississippi_Basin
Corn,GLU219,2.13567381610395,5.31724618389605,Lower_Mississippi_River_Basin
FiberCrop,GLU219,5.71905011600458,7.04083988399542,Lower_Mississippi_River_Basin
FodderGrass,GLU219,0.0788100730816364,4.03530992691836,Lower_Mississippi_River_Basin
FodderHerb,GLU219,0.0327584880091157,0.172621511990884,Lower_Mississippi_River_Basin
MiscCrop,GLU219,0.0684153242623499,0.17239467573765,Lower_Mississippi_River_Basin
OilCrop,GLU219,8.67034717922846,20.7863628207715,Lower_Mississippi_River_Basin
OtherGrain,GLU219,0.295762186549261,1.42227781345074,Lower_Mississippi_River_Basin
Rice,GLU219,8.24206080099969,0.200099199000307,Lower_Mississippi_River_Basin
Root_Tuber,GLU219,0.0527856641646525,0.0870343358353475,Lower_Mississippi_River_Basin
SugarCrop,GLU219,0.00839990967134493,1.95147009032866,Lower_Mississippi_River_Basin
Wheat,GLU219,0.371903652401188,5.39819634759881,Lower_Mississippi_River_Basin
