Name,DVSN_ID,Reach_ID,Q0001A,Q0001C,Q0001E,USGS_1,USGS_2,USGS_3,USGS_4,USGS_5,USGS_6,USGS_7,USGS_8
Shasta Lake,2172,7966205,250.6,276.69,275.74,11369500,NA,NA,NA,NA,NA,NA,NA
Whiskeytown Lake,2173,2782763,16.58,13.88,11.08,11371700,11371500,NA,NA,NA,NA,NA,NA
San Luis Reservoir,2175,16596583,0.43,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA
Castaic Lake,2176,17572439,1.76,1.17,1.17,11108130,11108095,11108092,NA,NA,NA,NA,NA
Folsom Lake,2177,14996713,137.34,142.62,120.95,11445500,11446000,11434000,NA,NA,NA,NA,NA
Perris Reservoir,2179,22534696,0.01,0,0,11070263,NA,NA,NA,NA,NA,NA,NA
Skinner Reservoir,2180,22547125,0.08,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA
Lake Mathews,2181,22568190,0.05,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
Silverwood Lake,2182,22660171,1.16,0.74,0.76,10260550,10260700,NA,NA,NA,NA,NA,NA
Lake Oroville,2183,2778598,237.36,260.62,134.45,11405000,11397500,11406500,NA,NA,NA,NA,NA
New Melones Lake,2184,349829,53.99,50.98,44.78,11299000,NA,NA,NA,NA,NA,NA,NA
Los Banos Reservoir,2185,16610547,0.6,0.36,0.36,NA,NA,NA,NA,NA,NA,NA,NA
Little Panoche Reservoir,2186,19784503,0.13,0.07,0.07,11255550,NA,NA,NA,NA,NA,NA,NA
Pyramid Lake,2188,17572445,5.62,4.22,1.37,11109520,NA,NA,NA,NA,NA,NA,NA
Lewiston Lake,2189,8246596,59.7,56.95,55.4,11525400,NA,NA,NA,NA,NA,NA,NA
Clifton Forebay,2190,1909466,0.25,0.14,0.14,11304000,11313000,NA,NA,NA,NA,NA,NA
Diamond Valley Lake,2191,22547063,0.03,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Wachusett Reservoir,2303,6078815,6.54,6.98,12.24,1095220,NA,NA,NA,NA,NA,NA,NA
Strontia Springs Reservoir,2317,190321,28.42,26.73,10.87,6707500,NA,NA,NA,NA,NA,NA,NA
Chattahoochee River,2331,3286332,94.77,85.99,75.91,2336410,2336313,NA,NA,NA,NA,NA,NA
San Pablo Reservoir,2334,1671835,0.71,0.43,0.43,NA,NA,NA,NA,NA,NA,NA,NA
Lafayette Reservoir,2336,2789349,0.15,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA
Lake Chabot,2338,2805073,0.93,0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA
Camanche Reservoir,2340,3953575,38.08,34.7,30.58,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi River - Columbia Heights Filtration Plant,2341,1100590,174.54,153.63,255.38,NA,NA,NA,NA,NA,NA,NA,NA
Hillsborough River,2343,16907115,9.14,9.77,7.41,2304500,NA,NA,NA,NA,NA,NA,NA
Alafia River,2344,16896616,3.48,4.03,7.49,2301325,NA,NA,NA,NA,NA,NA,NA
Aurora Reservoir,2348,229951,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
Quincy Reservoir,2349,230721,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
Rampart Reservoir,2352,1531295,0.09,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Pueblo Reservoir,2355,952543,35.78,41.11,23.73,7099235,7099200,NA,NA,NA,NA,NA,NA
Lake Meredith,2357,941020052,0.05,0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA
Homestake Reservoir,2358,1314795,0.13,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi River - Chain of Rocks Plant,2361,3624711,5684.01,3822.41,7457.45,5587750,6935965,NA,NA,NA,NA,NA,NA
Mississippi River - Coon Rapids,2362,1100590,174.54,153.63,255.38,5283500,NA,NA,NA,NA,NA,NA,NA
Pompton River,2371,6250618,10.72,11.73,3.51,NA,NA,NA,NA,NA,NA,NA,NA
Lake Pillsbury,3518,8310006,7.03,5.39,5.39,NA,NA,NA,NA,NA,NA,NA,NA
Lake Rockwell,3526,15588674,7.26,9.18,8.72,NA,NA,NA,NA,NA,NA,NA,NA
Inland Lake,3415,18566447,3.72,3.75,3.75,2455185,NA,NA,NA,NA,NA,NA,NA
