DVSN_ID,huc8
2162,18070304
2163,18070304
2164,18070304
2165,18070304
2166,18070304
2167,18070304
2168,18070304
2169,18070304
3565,12020003
3644,12020003
3451,18020162
2336,18050001
3581,18050001
3589,18050001
3474,18050001
3497,18050001
3203,18030003
3432,18030003
2176,18070102
2187,18070102
2188,18070102
2201,18070102
2203,18070102
3776,18070102
3770,18070102
2204,18090206
3185,13080001
3595,17090004
3379,04030204
3506,04190000
2308,04090002
3748,04050004
3209,04100013
3187,04100013
3419,05100205
3431,05100205
3468,05100205
3740,17100308
2309,02070008
2310,02070008
3703,02070008
3363,18030009
2175,18040001
2185,18040001
2186,18040001
3603,18040001
2307,04090004
2347,10190003
2348,10190003
2349,10190003
2319,10190004
3357,10190006
3670,10190006
4033,10190006
3405,10190007
3252,10190007
4032,10190007
3269,03030007
3505,03020201
3562,03020201
3352,03020201
2183,18020123
2170,18070305
2171,18070305
3645,01080207
3206,01080207
3220,01100004
3283,01100004
3371,01100004
3480,01100004
3458,01100004
3464,01100004
3475,01100004
3545,01100004
3582,01100004
3602,01100004
3863,01100004
3872,01100004
3406,01100004
3613,01100004
3720,01100004
4086,01060001
3473,11110201
4050,06020001
2295,03050101
2296,03050101
3483,03050101
3525,03050101
4034,03030005
3199,03040208
2303,01070004
3428,01070004
3692,01070004
4075,01070004
3239,01070006
3388,01070006
3401,01070006
3643,01070006
3824,01070006
3604,01070006
3498,01070006
3197,01090004
3378,01090004
3561,01090004
3697,01090004
3204,01090004
3782,01090004
3635,01090004
3700,01090004
3867,01090004
3729,01090004
2302,01080204
2304,01080204
3399,01090003
3400,01090003
3434,01090003
3435,01090003
3433,01090003
3436,01090003
3578,01090003
3292,01090003
3789,01090003
3293,01080206
2301,02050306
3523,02050306
3546,02050306
3300,02050306
3825,02050306
4038,02050306
3356,02070009
3559,02070009
3628,02070009
4055,08090100
3386,08090301
2353,11020001
2354,11020001
3288,11020001
2358,14010003
3504,11090106
3737,11090106
3666,11090105
3500,11110207
3598,05030103
3814,11090203
2182,18090208
3200,11140103
3593,11140103
2352,11020003
3308,11020003
3801,11020003
3654,11020003
3507,11020003
3651,11020003
3660,11020003
3689,11020003
3226,11020003
2313,10190001
2314,10190001
2350,10190001
2351,10190001
3629,10190001
2315,10190002
2317,10190002
2318,10190002
2355,11020002
3223,11020002
3590,11020002
3596,11020002
3742,11020002
3879,11020002
3231,11020002
2305,17110012
3805,17110009
3427,10270102
3696,10200202
3750,03040101
4052,03040101
2197,12010001
4042,05140202
3558,10200203
3261,11100301
3675,11100301
3553,11110104
2198,12010003
3516,12020001
3541,12020004
3540,12020004
3266,12020004
2289,12030101
2290,12030101
2291,12030102
2292,12030102
2192,12030103
2193,12030103
2194,12030103
2195,12030104
2196,12030106
2293,12030107
2294,12030108
2141,12030202
2142,12040101
2143,12040101
2139,12040104
2140,12040104
3514,11070103
3486,11070106
2283,12090205
2284,12090205
3606,13030102
3733,13030102
4037,02050305
3821,02050305
3827,02050305
3177,05010009
2232,02040104
3364,12060102
3445,12060102
3491,12060102
3289,12060102
3407,12060105
3543,12060203
3449,12070201
3630,03150201
4246,13020201
4247,13020201
4248,13020201
4249,13020201
4045,13020203
3771,13020203
4036,02050103
3698,03050104
3537,12080002
3531,12080008
3488,12090106
2159,12100201
2156,12100201
4028,12100202
2158,12100304
3244,03050110
3637,03160109
3796,03160110
3415,03160111
3410,06030002
3834,06030002
2331,03130002
3214,03130002
3534,16050101
3518,18010103
3502,18010110
3529,18010110
3745,18010110
3774,18010110
4053,18010110
2174,18010211
2189,18010211
2172,18020005
3856,03040206
4069,18020111
2177,18020128
2173,18020154
4041,18020154
3728,18020154
4068,18020161
3855,18030007
3625,18040002
2190,18040003
3571,18040003
3760,18040003
3817,18040003
3301,18040003
2184,18040010
3624,18040010
3649,18040011
3759,18040011
2230,02040102
3798,04140201
2334,18050002
2335,18050002
2260,18050003
2261,18050003
2262,18050003
2263,18050003
2265,18050003
2266,18050003
2268,18050003
2269,18050003
2270,18050003
2272,18050003
2529,18050003
2250,18050004
2251,18050004
2253,18050004
2256,18050004
2257,18050004
2337,18050004
2338,18050004
2280,18050004
2258,18050006
3655,18050006
4057,18050006
2264,18060002
2267,18060002
2271,18060002
3773,18060008
3241,18060010
3369,18060010
